seed,func,d,min
15435,Sum Squares,10,9.31E-08
25313,Sum Squares,10,9.63E-07
37573,Sum Squares,10,5.96E-06
52211,Sum Squares,10,7.33E-08
69250,Sum Squares,10,3.21E-06
88866,Sum Squares,10,1.71E-07
111075,Sum Squares,10,1.82E-06
135748,Sum Squares,10,9.31E-08
162835,Sum Squares,10,2.34E-07
192338,Sum Squares,10,1.13E-05
224320,Sum Squares,10,2.61E-08
258698,Sum Squares,10,2.92E-06
295490,Sum Squares,10,1.42E-06
334663,Sum Squares,10,1.49E-06
376271,Sum Squares,10,0.00E+00
420279,Sum Squares,10,4.89E-06
466706,Sum Squares,10,4.86E-07
515583,Sum Squares,10,2.32E-08
566913,Sum Squares,10,1.01E-05
620838,Sum Squares,10,6.51E-07
677318,Sum Squares,10,1.72E-08
736263,Sum Squares,10,1.02E-07
797723,Sum Squares,10,1.50E-06
861591,Sum Squares,10,4.13E-06
927870,Sum Squares,10,5.88E-06
996556,Sum Squares,10,1.57E-07
1067642,Sum Squares,10,1.99E-06
76,Sum Squares,20,3.73E-07
2815,Sum Squares,20,1.57E-05
7933,Sum Squares,20,5.36E-05
15435,Sum Squares,20,4.03E-06
25313,Sum Squares,20,3.73E-05
37573,Sum Squares,20,7.54E-06
52211,Sum Squares,20,7.60E-06
69250,Sum Squares,20,3.53E-06
88866,Sum Squares,20,8.38E-07
111075,Sum Squares,20,8.38E-07
135748,Sum Squares,20,1.75E-05
162835,Sum Squares,20,3.39E-04
192338,Sum Squares,20,7.03E-06
224320,Sum Squares,20,7.54E-06
258698,Sum Squares,20,1.19E-06
295490,Sum Squares,20,6.67E-08
334663,Sum Squares,20,1.68E-07
376271,Sum Squares,20,9.86E-05
420279,Sum Squares,20,8.55E-06
466706,Sum Squares,20,1.84E-04
515583,Sum Squares,20,3.35E-06
566913,Sum Squares,20,4.97E-06
620838,Sum Squares,20,1.82E-05
677318,Sum Squares,20,2.33E-06
736263,Sum Squares,20,1.79E-05
797723,Sum Squares,20,1.93E-05
861591,Sum Squares,20,1.94E-05
927870,Sum Squares,20,7.33E-06
996556,Sum Squares,20,5.20E-05
1067642,Sum Squares,20,4.56E-06
76,Trid,10,3.73E-04
2815,Trid,10,2.91E-03
7933,Trid,10,2.62E-03
15435,Trid,10,1.57E-03
25313,Trid,10,4.04E-04
37573,Trid,10,1.01E-06
52211,Trid,10,1.22E-03
69250,Trid,10,5.16E-03
88866,Trid,10,5.61E-04
111075,Trid,10,4.30E-03
135748,Trid,10,1.77E-05
162835,Trid,10,2.60E-05
192338,Trid,10,1.24E-03
224320,Trid,10,3.40E-04
258698,Trid,10,2.38E-03
295490,Trid,10,1.35E-03
334663,Trid,10,3.08E-03
376271,Trid,10,3.85E-03
420279,Trid,10,1.25E-04
466706,Trid,10,1.53E-07
515583,Trid,10,5.68E-05
